epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.6969,0.4814,0.0000,0.0000,1.0000,0.0000,0.5864,0.0000,0.6910,0.5116,0.5116,1.0000,0.0000,0.6769,0.6104,0.0000
2,0.6872,0.4983,1.0000,0.0327,1.0000,0.0633,0.7423,0.1265,0.6965,0.4884,0.0000,0.0000,1.0000,0.0000,0.7229,0.0000
3,0.6753,0.5729,0.9655,0.1830,0.9930,0.3077,0.8029,0.2953,0.6822,0.5581,1.0000,0.1364,1.0000,0.2400,0.7089,0.2676
4,0.6615,0.6102,0.7639,0.3595,0.8803,0.4889,0.7710,0.2789,0.6670,0.6047,0.8571,0.2727,0.9524,0.4138,0.7045,0.3048
5,0.6333,0.7119,0.8333,0.5556,0.8803,0.6667,0.8142,0.4579,0.6470,0.6047,0.7273,0.3636,0.8571,0.4848,0.7013,0.2529
6,0.6155,0.7085,0.7724,0.6209,0.8028,0.6884,0.7812,0.4294,0.6750,0.5581,0.8000,0.1818,0.9524,0.2963,0.6948,0.2093
7,0.5835,0.7220,0.7934,0.6275,0.8239,0.7007,0.7992,0.4585,0.6167,0.6279,0.7500,0.4091,0.8571,0.5294,0.6970,0.2967
8,0.5589,0.7119,0.7615,0.6471,0.7817,0.6996,0.8152,0.4315,0.5896,0.5581,0.5882,0.4545,0.6667,0.5128,0.7056,0.1239
9,0.5438,0.7322,0.7721,0.6863,0.7817,0.7266,0.8168,0.4691,0.5765,0.5814,0.6111,0.5000,0.6667,0.5500,0.6970,0.1689
10,0.5342,0.7593,0.7971,0.7190,0.8028,0.7560,0.8233,0.5225,0.5846,0.6047,0.6667,0.4545,0.7619,0.5405,0.7013,0.2270
11,0.5119,0.7661,0.7958,0.7386,0.7958,0.7661,0.8417,0.5343,0.5756,0.6047,0.6316,0.5455,0.6667,0.5854,0.7078,0.2135
12,0.5025,0.7729,0.7905,0.7647,0.7817,0.7774,0.8433,0.5460,0.6103,0.6279,0.7500,0.4091,0.8571,0.5294,0.7208,0.2967
13,0.4985,0.7763,0.8129,0.7386,0.8169,0.7740,0.8456,0.5560,0.5639,0.6047,0.6471,0.5000,0.7143,0.5641,0.7294,0.2191
14,0.4885,0.7864,0.8082,0.7712,0.8028,0.7893,0.8518,0.5737,0.5609,0.6047,0.6316,0.5455,0.6667,0.5854,0.7294,0.2135
15,0.4805,0.7695,0.7891,0.7582,0.7817,0.7733,0.8546,0.5395,0.5502,0.6047,0.6471,0.5000,0.7143,0.5641,0.7381,0.2191
16,0.5147,0.7390,0.7754,0.6993,0.7817,0.7354,0.8229,0.4817,0.5360,0.6977,0.6957,0.7273,0.6667,0.7111,0.7489,0.3948
17,0.4746,0.7627,0.7785,0.7582,0.7676,0.7682,0.8601,0.5254,0.5399,0.6977,0.7368,0.6364,0.7619,0.6829,0.7554,0.4009
18,0.4546,0.7966,0.8000,0.8105,0.7817,0.8052,0.8720,0.5925,0.5820,0.6047,0.6667,0.4545,0.7619,0.5405,0.7543,0.2270
19,0.4833,0.7695,0.7778,0.7778,0.7606,0.7778,0.8539,0.5383,0.5363,0.6977,0.7368,0.6364,0.7619,0.6829,0.7597,0.4009
