epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.6900,0.5525,0.8000,0.1830,0.9507,0.2979,0.6239,0.2066,0.7287,0.4884,0.0000,0.0000,1.0000,0.0000,0.6797,0.0000
2,0.6812,0.6305,0.7037,0.4967,0.7746,0.5824,0.6938,0.2815,0.6838,0.5814,0.7500,0.2727,0.9048,0.4000,0.7100,0.2280
3,0.6722,0.6475,0.6738,0.6209,0.6761,0.6463,0.7115,0.2971,0.6662,0.5814,0.5667,0.7727,0.3810,0.6538,0.7024,0.1673
4,0.6581,0.6746,0.6966,0.6601,0.6901,0.6779,0.7346,0.3501,0.6544,0.6047,0.6190,0.5909,0.6190,0.6047,0.7229,0.2100
5,0.6410,0.6678,0.6897,0.6536,0.6831,0.6711,0.7383,0.3365,0.6367,0.6512,0.7059,0.5455,0.7619,0.6154,0.7630,0.3142
6,0.6190,0.6915,0.7279,0.6471,0.7394,0.6851,0.7697,0.3874,0.6137,0.6512,0.7059,0.5455,0.7619,0.6154,0.8019,0.3142
7,0.5999,0.6915,0.7183,0.6667,0.7183,0.6915,0.7738,0.3850,0.6055,0.6512,0.7333,0.5000,0.8095,0.5946,0.8149,0.3246
8,0.5713,0.7186,0.7333,0.7190,0.7183,0.7261,0.8042,0.4370,0.5584,0.7209,0.7083,0.7727,0.6667,0.7391,0.8117,0.4423
9,0.5632,0.7119,0.7267,0.7124,0.7113,0.7195,0.7974,0.4235,0.5471,0.6744,0.7000,0.6364,0.7143,0.6667,0.8355,0.3514
10,0.5578,0.6949,0.7086,0.6993,0.6901,0.7039,0.7921,0.3893,0.5332,0.6512,0.6667,0.6364,0.6667,0.6512,0.8268,0.3030
11,0.5645,0.6983,0.7105,0.7059,0.6901,0.7082,0.7830,0.3959,0.5231,0.6977,0.7368,0.6364,0.7619,0.6829,0.8268,0.4009
12,0.5322,0.7424,0.7655,0.7255,0.7606,0.7450,0.8184,0.4858,0.5208,0.6977,0.7368,0.6364,0.7619,0.6829,0.8366,0.4009
13,0.5212,0.7627,0.7823,0.7516,0.7746,0.7667,0.8259,0.5259,0.4996,0.6977,0.7143,0.6818,0.7143,0.6977,0.8420,0.3961
14,0.5342,0.7458,0.7600,0.7451,0.7465,0.7525,0.8093,0.4913,0.4941,0.7209,0.6923,0.8182,0.6190,0.7500,0.8420,0.4470
15,0.5122,0.7559,0.7793,0.7386,0.7746,0.7584,0.8335,0.5129,0.5060,0.7209,0.7778,0.6364,0.8095,0.7000,0.8571,0.4518
16,0.5076,0.7763,0.7919,0.7712,0.7817,0.7815,0.8383,0.5526,0.5695,0.7442,1.0000,0.5000,1.0000,0.6667,0.8604,0.5728
17,0.4867,0.7864,0.8125,0.7647,0.8099,0.7879,0.8570,0.5743,0.4734,0.7442,0.6897,0.9091,0.5714,0.7843,0.8745,0.5126
18,0.5277,0.7458,0.7600,0.7451,0.7465,0.7525,0.8146,0.4913,0.4687,0.7674,0.7727,0.7727,0.7619,0.7727,0.8701,0.5346
19,0.4925,0.7898,0.7974,0.7974,0.7817,0.7974,0.8533,0.5791,0.4719,0.7209,0.7500,0.6818,0.7619,0.7143,0.8810,0.4447
20,0.4810,0.7898,0.8138,0.7712,0.8099,0.7919,0.8580,0.5808,0.4417,0.8140,0.7917,0.8636,0.7619,0.8261,0.8918,0.6296
21,0.5112,0.7797,0.8014,0.7647,0.7958,0.7826,0.8323,0.5601,0.4787,0.7674,0.8333,0.6818,0.8571,0.7500,0.8853,0.5461
22,0.4559,0.8237,0.8531,0.7974,0.8521,0.8243,0.8858,0.6493,0.4284,0.8140,0.7917,0.8636,0.7619,0.8261,0.9080,0.6296
23,0.4513,0.7932,0.8333,0.7516,0.8380,0.7904,0.8804,0.5905,0.4369,0.7674,0.7727,0.7727,0.7619,0.7727,0.9004,0.5346
24,0.4700,0.7932,0.8108,0.7843,0.8028,0.7973,0.8633,0.5867,0.4126,0.8140,0.7917,0.8636,0.7619,0.8261,0.9156,0.6296
25,0.4365,0.8271,0.8542,0.8039,0.8521,0.8283,0.8931,0.6558,0.4267,0.7907,0.8095,0.7727,0.8095,0.7907,0.9199,0.5823
26,0.4239,0.8102,0.8440,0.7778,0.8451,0.8095,0.9024,0.6230,0.4294,0.8372,0.8947,0.7727,0.9048,0.8293,0.9286,0.6819
27,0.4395,0.8068,0.8333,0.7843,0.8310,0.8081,0.8892,0.6150,0.3989,0.8372,0.8571,0.8182,0.8571,0.8372,0.9307,0.6753
28,0.4045,0.8237,0.8686,0.7778,0.8732,0.8207,0.9168,0.6522,0.3857,0.7907,0.7600,0.8636,0.7143,0.8085,0.9329,0.5856
29,0.4101,0.8271,0.8400,0.8235,0.8310,0.8317,0.9091,0.6542,0.4066,0.7907,0.7241,0.9545,0.6190,0.8235,0.9307,0.6119
30,0.4158,0.8136,0.8451,0.7843,0.8451,0.8136,0.9039,0.6294,0.3920,0.8372,0.8571,0.8182,0.8571,0.8372,0.9437,0.6753
31,0.4037,0.8373,0.8723,0.8039,0.8732,0.8367,0.9096,0.6773,0.3803,0.8140,0.7692,0.9091,0.7143,0.8333,0.9372,0.6373
32,0.3673,0.8644,0.9124,0.8170,0.9155,0.8621,0.9356,0.7338,0.3743,0.8605,0.8636,0.8636,0.8571,0.8636,0.9437,0.7208
33,0.3967,0.8271,0.8493,0.8105,0.8451,0.8294,0.9112,0.6551,0.3790,0.8140,0.7692,0.9091,0.7143,0.8333,0.9318,0.6373
34,0.3565,0.8678,0.9014,0.8366,0.9014,0.8678,0.9361,0.7380,0.6039,0.6977,1.0000,0.4091,1.0000,0.5806,0.9026,0.5027
35,0.3724,0.8576,0.8881,0.8301,0.8873,0.8581,0.9309,0.7172,0.4024,0.8605,0.9000,0.8182,0.9048,0.8571,0.9502,0.7245
36,0.3551,0.8508,0.8921,0.8105,0.8944,0.8493,0.9351,0.7055,0.3774,0.7674,0.7143,0.9091,0.6190,0.8000,0.9329,0.5539
37,0.3680,0.8542,0.8571,0.8627,0.8451,0.8599,0.9290,0.7080,0.6459,0.6279,1.0000,0.2727,1.0000,0.4286,0.9372,0.3934
38,0.3691,0.8407,0.8681,0.8170,0.8662,0.8418,0.9285,0.6829,0.4766,0.7209,0.6471,1.0000,0.4286,0.7857,0.9437,0.5266
39,0.3647,0.8576,0.8828,0.8366,0.8803,0.8591,0.9265,0.7165,0.4091,0.8372,0.9412,0.7273,0.9524,0.8205,0.9286,0.6949
40,0.3314,0.8746,0.9085,0.8431,0.9085,0.8746,0.9489,0.7516,0.3612,0.8605,0.8636,0.8636,0.8571,0.8636,0.9372,0.7208
41,0.3257,0.8983,0.9073,0.8954,0.9014,0.9013,0.9474,0.7965,0.4994,0.6977,0.6286,1.0000,0.3810,0.7719,0.9416,0.4893
42,0.3211,0.8678,0.8851,0.8562,0.8803,0.8704,0.9477,0.7360,0.4075,0.8140,0.8500,0.7727,0.8571,0.8095,0.9264,0.6312
43,0.3194,0.8881,0.9348,0.8431,0.9366,0.8866,0.9506,0.7808,0.3472,0.8372,0.8261,0.8636,0.8095,0.8444,0.9351,0.6746
44,0.3249,0.8847,0.8940,0.8824,0.8873,0.8882,0.9506,0.7694,0.3658,0.8605,0.8636,0.8636,0.8571,0.8636,0.9351,0.7208
45,0.3224,0.8746,0.9265,0.8235,0.9296,0.8720,0.9486,0.7549,0.3489,0.8140,0.7692,0.9091,0.7143,0.8333,0.9416,0.6373
46,0.3224,0.8949,0.9236,0.8693,0.9225,0.8956,0.9508,0.7915,0.3486,0.8372,0.8261,0.8636,0.8095,0.8444,0.9351,0.6746
47,0.3290,0.8983,0.9362,0.8627,0.9366,0.8980,0.9424,0.7996,0.3858,0.8605,0.9000,0.8182,0.9048,0.8571,0.9416,0.7245
48,0.3012,0.8780,0.9149,0.8431,0.9155,0.8776,0.9621,0.7588,0.3383,0.8605,0.8333,0.9091,0.8095,0.8696,0.9437,0.7233
49,0.2858,0.8949,0.9178,0.8758,0.9155,0.8963,0.9673,0.7908,0.3407,0.8605,0.8636,0.8636,0.8571,0.8636,0.9394,0.7208
50,0.3135,0.8678,0.8958,0.8431,0.8944,0.8687,0.9524,0.7372,0.3451,0.8140,0.7692,0.9091,0.7143,0.8333,0.9416,0.6373
51,0.3186,0.8881,0.9225,0.8562,0.9225,0.8881,0.9518,0.7787,0.3490,0.8372,0.8261,0.8636,0.8095,0.8444,0.9351,0.6746
52,0.3006,0.9085,0.9375,0.8824,0.9366,0.9091,0.9567,0.8186,0.3643,0.8605,0.8636,0.8636,0.8571,0.8636,0.9351,0.7208
53,0.2670,0.9153,0.9384,0.8954,0.9366,0.9164,0.9737,0.8315,0.3447,0.8140,0.7692,0.9091,0.7143,0.8333,0.9426,0.6373
54,0.2910,0.9017,0.9306,0.8758,0.9296,0.9024,0.9606,0.8051,0.3330,0.8605,0.8636,0.8636,0.8571,0.8636,0.9437,0.7208
55,0.2701,0.8949,0.9236,0.8693,0.9225,0.8956,0.9711,0.7915,0.3908,0.8140,0.8500,0.7727,0.8571,0.8095,0.9134,0.6312
56,0.2867,0.8678,0.8701,0.8758,0.8592,0.8730,0.9625,0.7352,0.4423,0.7907,0.8824,0.6818,0.9048,0.7692,0.9448,0.5997
57,0.2861,0.8983,0.9073,0.8954,0.9014,0.9013,0.9649,0.7965,0.4000,0.8605,0.9000,0.8182,0.9048,0.8571,0.9307,0.7245
58,0.2612,0.9119,0.9320,0.8954,0.9296,0.9133,0.9744,0.8244,0.3267,0.8605,0.8333,0.9091,0.8095,0.8696,0.9416,0.7233
59,0.2880,0.9051,0.9252,0.8889,0.9225,0.9067,0.9648,0.8109,0.3394,0.8372,0.8261,0.8636,0.8095,0.8444,0.9437,0.6746
60,0.2761,0.8915,0.9116,0.8758,0.9085,0.8933,0.9672,0.7837,0.3290,0.8605,0.8333,0.9091,0.8095,0.8696,0.9437,0.7233
61,0.2957,0.8644,0.8693,0.8693,0.8592,0.8693,0.9554,0.7284,0.3603,0.8605,0.8636,0.8636,0.8571,0.8636,0.9372,0.7208
62,0.2732,0.9186,0.9448,0.8954,0.9437,0.9195,0.9653,0.8386,0.3420,0.8605,0.8636,0.8636,0.8571,0.8636,0.9416,0.7208
63,0.2508,0.9322,0.9404,0.9281,0.9366,0.9342,0.9765,0.8644,0.3598,0.8372,0.8261,0.8636,0.8095,0.8444,0.9307,0.6746
64,0.2670,0.9017,0.9306,0.8758,0.9296,0.9024,0.9695,0.8051,0.3291,0.8605,0.8333,0.9091,0.8095,0.8696,0.9394,0.7233
65,0.2799,0.8881,0.9054,0.8758,0.9014,0.8904,0.9680,0.7767,0.3563,0.8837,0.9048,0.8636,0.9048,0.8837,0.9416,0.7684
66,0.2431,0.9153,0.9384,0.8954,0.9366,0.9164,0.9781,0.8315,0.3356,0.8372,0.8000,0.9091,0.7619,0.8511,0.9361,0.6799
67,0.2834,0.8983,0.9489,0.8497,0.9507,0.8966,0.9613,0.8019,0.3346,0.8605,0.8333,0.9091,0.8095,0.8696,0.9416,0.7233
68,0.2428,0.9186,0.9448,0.8954,0.9437,0.9195,0.9797,0.8386,0.3370,0.8605,0.8636,0.8636,0.8571,0.8636,0.9437,0.7208
69,0.2525,0.9254,0.9645,0.8889,0.9648,0.9252,0.9780,0.8539,0.3374,0.8372,0.8261,0.8636,0.8095,0.8444,0.9394,0.6746
70,0.2418,0.9220,0.9452,0.9020,0.9437,0.9231,0.9817,0.8451,0.3410,0.8605,0.8636,0.8636,0.8571,0.8636,0.9394,0.7208
71,0.2586,0.9186,0.9448,0.8954,0.9437,0.9195,0.9715,0.8386,0.3427,0.8372,0.8261,0.8636,0.8095,0.8444,0.9372,0.6746
72,0.2333,0.9220,0.9392,0.9085,0.9366,0.9236,0.9826,0.8445,0.3312,0.8372,0.8261,0.8636,0.8095,0.8444,0.9394,0.6746
73,0.2486,0.8949,0.9420,0.8497,0.9437,0.8935,0.9765,0.7944,0.3392,0.8372,0.8261,0.8636,0.8095,0.8444,0.9351,0.6746
74,0.2366,0.9458,0.9536,0.9412,0.9507,0.9474,0.9802,0.8915,0.3370,0.8372,0.8261,0.8636,0.8095,0.8444,0.9318,0.6746
75,0.2381,0.9288,0.9459,0.9150,0.9437,0.9302,0.9805,0.8581,0.3392,0.8372,0.8261,0.8636,0.8095,0.8444,0.9307,0.6746
76,0.2268,0.9322,0.9586,0.9085,0.9577,0.9329,0.9833,0.8658,0.3318,0.8372,0.8261,0.8636,0.8095,0.8444,0.9416,0.6746
77,0.2385,0.9119,0.9205,0.9085,0.9155,0.9145,0.9798,0.8236,0.3291,0.8372,0.8261,0.8636,0.8095,0.8444,0.9416,0.6746
78,0.2336,0.9288,0.9714,0.8889,0.9718,0.9283,0.9834,0.8612,0.3304,0.8372,0.8261,0.8636,0.8095,0.8444,0.9416,0.6746
79,0.2699,0.9017,0.9306,0.8758,0.9296,0.9024,0.9680,0.8051,0.3224,0.8605,0.8333,0.9091,0.8095,0.8696,0.9416,0.7233
80,0.2744,0.8814,0.8933,0.8758,0.8873,0.8845,0.9632,0.7627,0.3237,0.8605,0.8333,0.9091,0.8095,0.8696,0.9437,0.7233
81,0.2591,0.9119,0.9320,0.8954,0.9296,0.9133,0.9706,0.8244,0.3434,0.8837,0.9048,0.8636,0.9048,0.8837,0.9394,0.7684
82,0.2432,0.9186,0.9448,0.8954,0.9437,0.9195,0.9737,0.8386,0.3276,0.8605,0.8333,0.9091,0.8095,0.8696,0.9437,0.7233
83,0.2655,0.9119,0.9379,0.8889,0.9366,0.9128,0.9699,0.8251,0.3409,0.8837,0.9048,0.8636,0.9048,0.8837,0.9394,0.7684
84,0.2107,0.9424,0.9658,0.9216,0.9648,0.9431,0.9916,0.8858,0.3376,0.8372,0.8261,0.8636,0.8095,0.8444,0.9372,0.6746
85,0.2691,0.9153,0.9267,0.9085,0.9225,0.9175,0.9673,0.8306,0.3390,0.8372,0.8261,0.8636,0.8095,0.8444,0.9297,0.6746
86,0.2441,0.9017,0.9189,0.8889,0.9155,0.9037,0.9738,0.8038,0.3299,0.8372,0.8261,0.8636,0.8095,0.8444,0.9372,0.6746
87,0.2288,0.9220,0.9577,0.8889,0.9577,0.9220,0.9800,0.8466,0.3306,0.8372,0.8261,0.8636,0.8095,0.8444,0.9394,0.6746
88,0.2061,0.9525,0.9793,0.9281,0.9789,0.9530,0.9935,0.9065,0.3284,0.8605,0.8333,0.9091,0.8095,0.8696,0.9372,0.7233
89,0.2473,0.9186,0.9448,0.8954,0.9437,0.9195,0.9757,0.8386,0.3235,0.8605,0.8333,0.9091,0.8095,0.8696,0.9405,0.7233
90,0.2308,0.9288,0.9521,0.9085,0.9507,0.9298,0.9803,0.8586,0.3284,0.8372,0.8261,0.8636,0.8095,0.8444,0.9372,0.6746
91,0.2196,0.9424,0.9533,0.9346,0.9507,0.9439,0.9842,0.8849,0.3272,0.8372,0.8261,0.8636,0.8095,0.8444,0.9394,0.6746
92,0.2496,0.9186,0.9388,0.9020,0.9366,0.9200,0.9765,0.8380,0.3487,0.8605,0.8636,0.8636,0.8571,0.8636,0.9351,0.7208
93,0.2643,0.8949,0.9178,0.8758,0.9155,0.8963,0.9720,0.7908,0.3506,0.8837,0.9048,0.8636,0.9048,0.8837,0.9372,0.7684
94,0.2300,0.9288,0.9648,0.8954,0.9648,0.9288,0.9811,0.8602,0.3374,0.8372,0.8261,0.8636,0.8095,0.8444,0.9394,0.6746
95,0.2379,0.9220,0.9392,0.9085,0.9366,0.9236,0.9801,0.8445,0.3347,0.8372,0.8261,0.8636,0.8095,0.8444,0.9372,0.6746
96,0.2802,0.8949,0.9067,0.8889,0.9014,0.8977,0.9620,0.7899,0.3250,0.8605,0.8333,0.9091,0.8095,0.8696,0.9394,0.7233
97,0.2584,0.9119,0.9262,0.9020,0.9225,0.9139,0.9702,0.8240,0.3535,0.8837,0.9048,0.8636,0.9048,0.8837,0.9394,0.7684
98,0.2313,0.9322,0.9586,0.9085,0.9577,0.9329,0.9832,0.8658,0.3301,0.8605,0.8333,0.9091,0.8095,0.8696,0.9394,0.7233
99,0.2876,0.8814,0.9097,0.8562,0.9085,0.8822,0.9581,0.7643,0.3267,0.8605,0.8333,0.9091,0.8095,0.8696,0.9394,0.7233
100,0.2304,0.9153,0.9267,0.9085,0.9225,0.9175,0.9824,0.8306,0.3337,0.8372,0.8261,0.8636,0.8095,0.8444,0.9394,0.6746
