epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.6914,0.5203,0.5188,0.9935,0.0140,0.6816,0.5350,0.0372,0.7235,0.4884,0.0000,0.0000,1.0000,0.0000,0.6905,0.0000
2,0.6861,0.5270,0.5228,0.9739,0.0490,0.6804,0.6307,0.0603,0.6813,0.6744,0.6538,0.7727,0.5714,0.7083,0.7348,0.3519
3,0.6797,0.5507,0.5368,0.9542,0.1189,0.6871,0.6804,0.1339,0.6672,0.5349,0.5238,1.0000,0.0476,0.6875,0.7305,0.1579
4,0.6733,0.5878,0.5677,0.8497,0.3077,0.6806,0.6851,0.1879,0.6603,0.6279,0.5882,0.9091,0.3333,0.7143,0.7273,0.2979
5,0.6642,0.6351,0.6098,0.8170,0.4406,0.6983,0.6975,0.2789,0.6529,0.7209,0.6667,0.9091,0.5238,0.7692,0.7338,0.4712
6,0.6531,0.6588,0.6398,0.7778,0.5315,0.7021,0.7154,0.3198,0.6407,0.6744,0.6176,0.9545,0.3810,0.7500,0.7305,0.4122
7,0.6497,0.6554,0.6474,0.7320,0.5734,0.6871,0.6980,0.3097,0.6374,0.6047,0.6190,0.5909,0.6190,0.6047,0.7392,0.2100
8,0.6283,0.6959,0.6821,0.7712,0.6154,0.7239,0.7466,0.3920,0.6217,0.6744,0.6667,0.7273,0.6190,0.6957,0.7305,0.3486
9,0.6098,0.7297,0.7160,0.7908,0.6643,0.7516,0.7722,0.4596,0.6026,0.7209,0.6667,0.9091,0.5238,0.7692,0.7381,0.4712
10,0.6049,0.6993,0.6928,0.7516,0.6434,0.7210,0.7600,0.3977,0.5947,0.7209,0.7500,0.6818,0.7619,0.7143,0.7576,0.4447
11,0.5677,0.7466,0.7407,0.7843,0.7063,0.7619,0.8156,0.4925,0.6023,0.6279,0.6875,0.5000,0.7619,0.5789,0.7587,0.2708
12,0.5500,0.7331,0.7342,0.7582,0.7063,0.7460,0.8216,0.4653,0.5543,0.7209,0.6923,0.8182,0.6190,0.7500,0.7684,0.4470
13,0.5276,0.7500,0.7394,0.7974,0.6993,0.7673,0.8402,0.4997,0.5594,0.6744,0.7222,0.5909,0.7619,0.6500,0.7771,0.3575
14,0.5107,0.7534,0.7667,0.7516,0.7552,0.7591,0.8481,0.5066,0.5481,0.6977,0.7368,0.6364,0.7619,0.6829,0.7857,0.4009
15,0.5066,0.7770,0.7843,0.7843,0.7692,0.7843,0.8438,0.5535,0.5287,0.7209,0.7083,0.7727,0.6667,0.7391,0.7944,0.4423
16,0.4814,0.7568,0.7613,0.7712,0.7413,0.7662,0.8583,0.5128,0.5235,0.7442,0.7200,0.8182,0.6667,0.7660,0.7922,0.4913
17,0.4517,0.8007,0.8310,0.7712,0.8322,0.8000,0.8823,0.6036,0.5169,0.7674,0.7500,0.8182,0.7143,0.7826,0.7965,0.5360
