epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.6939,0.4797,0.0000,0.0000,1.0000,0.0000,0.5598,0.0000,0.6958,0.5116,0.5116,1.0000,0.0000,0.6769,0.4957,0.0000
2,0.6878,0.5236,1.0000,0.0844,1.0000,0.1557,0.7586,0.2058,0.6817,0.6512,0.8889,0.3636,0.9524,0.5161,0.8647,0.3883
3,0.6807,0.6486,0.8676,0.3831,0.9366,0.5315,0.8016,0.3797,0.6720,0.6744,1.0000,0.3636,1.0000,0.5333,0.8550,0.4671
4,0.6725,0.7128,0.8557,0.5390,0.9014,0.6614,0.7904,0.4687,0.6608,0.6977,0.8462,0.5000,0.9048,0.6286,0.8496,0.4405
5,0.6609,0.7601,0.8320,0.6753,0.8521,0.7455,0.8358,0.5335,0.6466,0.7907,0.7826,0.8182,0.7619,0.8000,0.8723,0.5813
6,0.6430,0.7500,0.8077,0.6818,0.8239,0.7394,0.8257,0.5091,0.6208,0.7674,0.7143,0.9091,0.6190,0.8000,0.8788,0.5539
7,0.6211,0.7669,0.8058,0.7273,0.8099,0.7645,0.8359,0.5377,0.5913,0.8140,0.8500,0.7727,0.8571,0.8095,0.8831,0.6312
8,0.6009,0.7466,0.7762,0.7208,0.7746,0.7475,0.8148,0.4953,0.5576,0.8140,0.8182,0.8182,0.8095,0.8182,0.8831,0.6277
9,0.5767,0.7264,0.7552,0.7013,0.7535,0.7273,0.8120,0.4547,0.5334,0.8372,0.8571,0.8182,0.8571,0.8372,0.8766,0.6753
10,0.5504,0.7365,0.7603,0.7208,0.7535,0.7400,0.8234,0.4740,0.5191,0.7674,0.7500,0.8182,0.7143,0.7826,0.8766,0.5360
11,0.5400,0.7534,0.7613,0.7662,0.7394,0.7638,0.8199,0.5058,0.4965,0.8140,0.8182,0.8182,0.8095,0.8182,0.8853,0.6277
12,0.5252,0.7500,0.7667,0.7468,0.7535,0.7566,0.8280,0.4999,0.4892,0.7907,0.7826,0.8182,0.7619,0.8000,0.8853,0.5813
13,0.5202,0.7568,0.7770,0.7468,0.7676,0.7616,0.8270,0.5139,0.4752,0.8372,0.8571,0.8182,0.8571,0.8372,0.8810,0.6753
