epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
38,0.3694,0.8169,0.8414,0.7974,0.8380,0.8188,0.9226,0.6351,0.2569,0.8837,0.8696,0.9091,0.8571,0.8889,0.9784,0.7679
39,0.3470,0.8780,0.8926,0.8693,0.8873,0.8808,0.9399,0.7561,0.2622,0.8837,0.8400,0.9545,0.8095,0.8936,0.9784,0.7742
40,0.3737,0.8644,0.8742,0.8627,0.8662,0.8684,0.9165,0.7286,0.2436,0.8837,0.9048,0.8636,0.9048,0.8837,0.9805,0.7684
41,0.3687,0.8373,0.8387,0.8497,0.8239,0.8442,0.9240,0.6740,0.2453,0.8837,0.9048,0.8636,0.9048,0.8837,0.9827,0.7684
42,0.3633,0.8373,0.8344,0.8562,0.8169,0.8452,0.9235,0.6740,0.2372,0.9070,0.9091,0.9091,0.9048,0.9091,0.9848,0.8139
43,0.3460,0.8576,0.8725,0.8497,0.8662,0.8609,0.9357,0.7154,0.2463,0.9070,0.9500,0.8636,0.9524,0.9048,0.9805,0.8178
44,0.3365,0.8610,0.8684,0.8627,0.8592,0.8656,0.9391,0.7217,0.2522,0.9302,0.8800,1.0000,0.8571,0.9362,0.9848,0.8685
45,0.3458,0.8610,0.8733,0.8562,0.8662,0.8647,0.9336,0.7220,0.2328,0.9070,0.9091,0.9091,0.9048,0.9091,0.9827,0.8139
46,0.3878,0.8271,0.8269,0.8431,0.8099,0.8350,0.9116,0.6536,0.2334,0.9302,0.9130,0.9545,0.9048,0.9333,0.9848,0.8612
47,0.3466,0.8746,0.8766,0.8824,0.8662,0.8795,0.9351,0.7488,0.2253,0.9302,0.9130,0.9545,0.9048,0.9333,0.9848,0.8612
48,0.3554,0.8542,0.8571,0.8627,0.8451,0.8599,0.9285,0.7080,0.2277,0.9070,0.9091,0.9091,0.9048,0.9091,0.9827,0.8139
49,0.3299,0.8712,0.8859,0.8627,0.8803,0.8742,0.9429,0.7425,0.2323,0.9302,0.9524,0.9091,0.9524,0.9302,0.9848,0.8615
50,0.3096,0.8610,0.8733,0.8562,0.8662,0.8647,0.9552,0.7220,0.2193,0.9302,0.9524,0.9091,0.9524,0.9302,0.9848,0.8615
51,0.2807,0.9051,0.9310,0.8824,0.9296,0.9060,0.9694,0.8115,0.2303,0.9302,0.8800,1.0000,0.8571,0.9362,0.9848,0.8685
