fold,epoch,tr_ACC,tr_PRE,tr_SEN,tr_SPE,tr_F1,tr_AUC,tr_MCC,tr_loss,vl_ACC,vl_PRE,vl_SEN,vl_SPE,vl_F1,vl_AUC,vl_MCC,vl_loss,lr
1,1,0.477124,0.351759,0.693069,0.370732,0.466667,0.541753,0.062914,0.744225,0.324675,0.324675,1.000000,0.000000,0.490196,0.636923,0.000000,0.787002,0.000001
1,2,0.444444,0.324873,0.633663,0.351220,0.429530,0.485293,-0.014844,0.766940,0.324675,0.324675,1.000000,0.000000,0.490196,0.453077,0.000000,0.709190,0.000001
1,3,0.519608,0.363095,0.603960,0.478049,0.453532,0.548563,0.077501,0.735860,0.324675,0.324675,1.000000,0.000000,0.490196,0.491538,0.000000,0.718550,0.000001
1,4,0.506536,0.352941,0.594059,0.463415,0.442804,0.502874,0.054390,0.757229,0.324675,0.324675,1.000000,0.000000,0.490196,0.513846,0.000000,0.719918,0.000001
