epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.6391,0.6687,0.0000,0.0000,1.0000,0.0000,0.6213,0.0000,0.6717,0.6667,0.0000,0.0000,1.0000,0.0000,0.4688,0.0000
2,0.6296,0.6657,0.0000,0.0000,0.9955,0.0000,0.6503,-0.0385,0.6453,0.6667,0.0000,0.0000,1.0000,0.0000,0.4316,0.0000
3,0.6222,0.6687,0.5000,0.0180,0.9911,0.0348,0.6463,0.0394,0.6469,0.6667,0.0000,0.0000,1.0000,0.0000,0.4355,0.0000
4,0.6139,0.6657,0.4615,0.0541,0.9687,0.0968,0.6624,0.0556,0.6498,0.6667,0.0000,0.0000,1.0000,0.0000,0.4336,0.0000
5,0.6047,0.6806,0.5769,0.1351,0.9509,0.2190,0.6852,0.1513,0.6561,0.6667,0.0000,0.0000,1.0000,0.0000,0.4395,0.0000
6,0.6062,0.6567,0.4500,0.1622,0.9018,0.2384,0.6631,0.0928,0.6543,0.6458,0.0000,0.0000,0.9687,0.0000,0.4531,-0.1031
7,0.6023,0.6687,0.5000,0.1802,0.9107,0.2649,0.6741,0.1319,0.6561,0.6250,0.0000,0.0000,0.9375,0.0000,0.4551,-0.1474
8,0.6015,0.6657,0.4878,0.1802,0.9062,0.2632,0.6761,0.1241,0.6551,0.6250,0.0000,0.0000,0.9375,0.0000,0.4619,-0.1474
9,0.5964,0.6716,0.5152,0.1532,0.9286,0.2361,0.6866,0.1291,0.6472,0.6458,0.0000,0.0000,0.9687,0.0000,0.4922,-0.1031
10,0.5896,0.6866,0.5682,0.2252,0.9152,0.3226,0.6960,0.1957,0.6529,0.6250,0.0000,0.0000,0.9375,0.0000,0.4941,-0.1474
11,0.5907,0.6657,0.4889,0.1982,0.8973,0.2821,0.6971,0.1318,0.6426,0.6250,0.0000,0.0000,0.9375,0.0000,0.5176,-0.1474
12,0.5844,0.6776,0.5273,0.2613,0.8839,0.3494,0.7047,0.1845,0.6465,0.5833,0.0000,0.0000,0.8750,0.0000,0.5273,-0.2132
13,0.5774,0.6687,0.5000,0.2432,0.8795,0.3273,0.7254,0.1571,0.6431,0.5833,0.0000,0.0000,0.8750,0.0000,0.5273,-0.2132
14,0.5746,0.6866,0.5536,0.2793,0.8884,0.3713,0.7259,0.2115,0.6404,0.6667,0.0000,0.0000,1.0000,0.0000,0.5527,0.0000
15,0.5700,0.6776,0.5238,0.2973,0.8661,0.3793,0.7304,0.1968,0.6575,0.6250,0.4167,0.3125,0.7812,0.3571,0.5488,0.1021
16,0.5686,0.6985,0.6042,0.2613,0.9152,0.3648,0.7379,0.2370,0.6359,0.6667,0.0000,0.0000,1.0000,0.0000,0.5645,0.0000
17,0.5750,0.6836,0.5510,0.2432,0.9018,0.3375,0.7330,0.1932,0.6298,0.6250,0.0000,0.0000,0.9375,0.0000,0.5723,-0.1474
18,0.5627,0.7104,0.6346,0.2973,0.9152,0.4049,0.7439,0.2762,0.6285,0.6458,0.4444,0.2500,0.8437,0.3200,0.5918,0.1132
19,0.5581,0.6866,0.5536,0.2793,0.8884,0.3713,0.7549,0.2115,0.6209,0.6458,0.3333,0.0625,0.9375,0.1053,0.5918,0.0000
20,0.5543,0.7075,0.6226,0.2973,0.9107,0.4024,0.7554,0.2683,0.6314,0.6667,0.0000,0.0000,1.0000,0.0000,0.5850,0.0000
21,0.5549,0.6896,0.5538,0.3243,0.8705,0.4091,0.7521,0.2319,0.6302,0.6250,0.4286,0.3750,0.7500,0.4000,0.6211,0.1296
22,0.5423,0.7075,0.6182,0.3063,0.9062,0.4096,0.7823,0.2701,0.6543,0.6667,0.0000,0.0000,1.0000,0.0000,0.6016,0.0000
23,0.5510,0.7313,0.6364,0.4414,0.8750,0.5213,0.7498,0.3540,0.6098,0.6667,0.5000,0.1875,0.9062,0.2727,0.6240,0.1336
24,0.5398,0.7045,0.6000,0.3243,0.8929,0.4211,0.7799,0.2666,0.6398,0.6458,0.4737,0.5625,0.6875,0.5143,0.6211,0.2410
25,0.5393,0.6985,0.5714,0.3604,0.8661,0.4420,0.7749,0.2622,0.6093,0.6875,0.6000,0.1875,0.9375,0.2857,0.6191,0.1929
26,0.5265,0.7313,0.6567,0.3964,0.8973,0.4944,0.7945,0.3456,0.6536,0.6667,0.0000,0.0000,1.0000,0.0000,0.6191,0.0000
27,0.5215,0.7313,0.6522,0.4054,0.8929,0.5000,0.7989,0.3472,0.6200,0.6875,0.5333,0.5000,0.7812,0.5161,0.6367,0.2860
28,0.5207,0.7373,0.6620,0.4234,0.8929,0.5165,0.7994,0.3643,0.6231,0.6250,0.4375,0.4375,0.7187,0.4375,0.6348,0.1562
