epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.6622,0.6716,0.0000,0.0000,1.0000,0.0000,0.6115,0.0000,0.6533,0.6667,0.0000,0.0000,1.0000,0.0000,0.4775,0.0000
2,0.6498,0.6746,1.0000,0.0091,1.0000,0.0180,0.6385,0.0783,0.6467,0.6667,0.0000,0.0000,1.0000,0.0000,0.5469,0.0000
3,0.6390,0.6657,0.3750,0.0273,0.9778,0.0508,0.6541,0.0155,0.6415,0.6667,0.0000,0.0000,1.0000,0.0000,0.5449,0.0000
4,0.6320,0.6627,0.4286,0.0818,0.9467,0.1374,0.6385,0.0552,0.6433,0.6458,0.3333,0.0625,0.9375,0.1053,0.5391,0.0000
5,0.6287,0.6716,0.5000,0.1182,0.9422,0.1912,0.6287,0.1060,0.6397,0.6250,0.0000,0.0000,0.9375,0.0000,0.5410,-0.1474
6,0.6202,0.6597,0.4286,0.1091,0.9289,0.1739,0.6429,0.0644,0.6435,0.6042,0.2857,0.1250,0.8437,0.1739,0.5420,-0.0417
7,0.6157,0.6836,0.5769,0.1364,0.9511,0.2206,0.6556,0.1535,0.6428,0.6250,0.3333,0.1250,0.8750,0.1818,0.5508,0.0000
8,0.6090,0.6896,0.5938,0.1727,0.9422,0.2676,0.6634,0.1837,0.6420,0.6250,0.3333,0.1250,0.8750,0.1818,0.5469,0.0000
9,0.6131,0.6925,0.5946,0.2000,0.9333,0.2993,0.6509,0.1998,0.6414,0.6250,0.3333,0.1250,0.8750,0.1818,0.5508,0.0000
10,0.6078,0.6716,0.5000,0.1636,0.9200,0.2466,0.6588,0.1268,0.6473,0.6042,0.3333,0.1875,0.8125,0.2400,0.5488,0.0000
11,0.5966,0.6925,0.6000,0.1909,0.9378,0.2897,0.6879,0.1976,0.6425,0.6250,0.3333,0.1250,0.8750,0.1818,0.5527,0.0000
12,0.6038,0.6687,0.4878,0.1818,0.9067,0.2649,0.6584,0.1268,0.6606,0.6042,0.3636,0.2500,0.7812,0.2963,0.5547,0.0350
13,0.5989,0.6925,0.5814,0.2273,0.9200,0.3268,0.6690,0.2068,0.6471,0.6250,0.4000,0.2500,0.8125,0.3077,0.5576,0.0725
14,0.5964,0.6836,0.5556,0.1818,0.9289,0.2740,0.6751,0.1679,0.6390,0.6458,0.4000,0.1250,0.9062,0.1905,0.5635,0.0482
15,0.5960,0.7254,0.6957,0.2909,0.9378,0.4103,0.6704,0.3120,0.6420,0.6250,0.3333,0.1250,0.8750,0.1818,0.5566,0.0000
16,0.6032,0.6866,0.5714,0.1818,0.9333,0.2759,0.6542,0.1768,0.6415,0.6250,0.3333,0.1250,0.8750,0.1818,0.5752,0.0000
17,0.5907,0.6925,0.6129,0.1727,0.9467,0.2695,0.6855,0.1935,0.6414,0.6250,0.3333,0.1250,0.8750,0.1818,0.5752,0.0000
18,0.5894,0.6955,0.5952,0.2273,0.9244,0.3289,0.6903,0.2152,0.6438,0.6458,0.4444,0.2500,0.8437,0.3200,0.5723,0.1132
19,0.5902,0.7075,0.6500,0.2364,0.9378,0.3467,0.6845,0.2522,0.6425,0.6042,0.3333,0.1875,0.8125,0.2400,0.5781,0.0000
20,0.5820,0.7045,0.6222,0.2545,0.9244,0.3613,0.6955,0.2465,0.6447,0.6042,0.3333,0.1875,0.8125,0.2400,0.5801,0.0000
21,0.5760,0.7015,0.5962,0.2818,0.9067,0.3827,0.7155,0.2444,0.6410,0.6458,0.4286,0.1875,0.8750,0.2609,0.5801,0.0835
22,0.5855,0.6955,0.5833,0.2545,0.9111,0.3544,0.6996,0.2220,0.6404,0.6458,0.4000,0.1250,0.9062,0.1905,0.5889,0.0482
23,0.5859,0.6925,0.5814,0.2273,0.9200,0.3268,0.6945,0.2068,0.6541,0.5833,0.3571,0.3125,0.7187,0.3333,0.5938,0.0324
24,0.5732,0.7164,0.6531,0.2909,0.9244,0.4025,0.7158,0.2862,0.6371,0.6250,0.3750,0.1875,0.8437,0.2500,0.5918,0.0395
25,0.5781,0.7104,0.6585,0.2455,0.9378,0.3576,0.7076,0.2626,0.6418,0.6042,0.3333,0.1875,0.8125,0.2400,0.5967,0.0000
26,0.5713,0.6925,0.5778,0.2364,0.9156,0.3355,0.7251,0.2092,0.6344,0.6458,0.4286,0.1875,0.8750,0.2609,0.5938,0.0835
27,0.5780,0.6806,0.5306,0.2364,0.8978,0.3270,0.7071,0.1783,0.6333,0.6458,0.4286,0.1875,0.8750,0.2609,0.5957,0.0835
28,0.5732,0.6896,0.5652,0.2364,0.9111,0.3333,0.7188,0.2012,0.6323,0.6250,0.3750,0.1875,0.8437,0.2500,0.6016,0.0395
29,0.5660,0.7104,0.6444,0.2636,0.9289,0.3742,0.7351,0.2651,0.6348,0.6458,0.4286,0.1875,0.8750,0.2609,0.5977,0.0835
30,0.5616,0.7194,0.6538,0.3091,0.9200,0.4198,0.7415,0.2971,0.6381,0.6250,0.3750,0.1875,0.8437,0.2500,0.5977,0.0395
31,0.5603,0.7164,0.6364,0.3182,0.9111,0.4242,0.7432,0.2907,0.6357,0.6458,0.4286,0.1875,0.8750,0.2609,0.5977,0.0835
32,0.5551,0.7522,0.7288,0.3909,0.9289,0.5089,0.7364,0.3943,0.6382,0.6250,0.3750,0.1875,0.8437,0.2500,0.5977,0.0395
33,0.5652,0.7045,0.5902,0.3273,0.8889,0.4211,0.7265,0.2630,0.6352,0.6250,0.4000,0.2500,0.8125,0.3077,0.6064,0.0725
34,0.5575,0.7254,0.6667,0.3273,0.9200,0.4390,0.7460,0.3158,0.6430,0.6042,0.4118,0.4375,0.6875,0.4242,0.6064,0.1232
35,0.5487,0.7224,0.6667,0.3091,0.9244,0.4224,0.7652,0.3053,0.6335,0.6667,0.5000,0.1875,0.9062,0.2727,0.6074,0.1336
36,0.5501,0.7284,0.6667,0.3455,0.9156,0.4551,0.7584,0.3262,0.6261,0.6458,0.4286,0.1875,0.8750,0.2609,0.6035,0.0835
37,0.5488,0.7343,0.6842,0.3545,0.9200,0.4671,0.7612,0.3431,0.6389,0.5833,0.3571,0.3125,0.7187,0.3333,0.6113,0.0324
38,0.5445,0.7493,0.7031,0.4091,0.9156,0.5172,0.7597,0.3878,0.6329,0.6458,0.4286,0.1875,0.8750,0.2609,0.6113,0.0835
39,0.5314,0.7493,0.6970,0.4182,0.9111,0.5227,0.7850,0.3888,0.6352,0.6042,0.3636,0.2500,0.7812,0.2963,0.6152,0.0350
40,0.5384,0.7373,0.6833,0.3727,0.9156,0.4824,0.7721,0.3531,0.6281,0.6042,0.3333,0.1875,0.8125,0.2400,0.6250,0.0000
41,0.5282,0.7493,0.7031,0.4091,0.9156,0.5172,0.7886,0.3878,0.6407,0.6250,0.4000,0.2500,0.8125,0.3077,0.6152,0.0725
42,0.5353,0.7493,0.6857,0.4364,0.9022,0.5333,0.7692,0.3911,0.6412,0.6250,0.4444,0.5000,0.6875,0.4706,0.6387,0.1826
43,0.5242,0.7761,0.7778,0.4455,0.9378,0.5665,0.7989,0.4606,0.6283,0.6667,0.5000,0.1875,0.9062,0.2727,0.6211,0.1336
44,0.5224,0.7612,0.7206,0.4455,0.9156,0.5506,0.7925,0.4215,0.6313,0.5833,0.3333,0.2500,0.7500,0.2857,0.6367,0.0000
45,0.5118,0.7672,0.7424,0.4455,0.9244,0.5568,0.8182,0.4367,0.6308,0.6458,0.4444,0.2500,0.8437,0.3200,0.6289,0.1132
46,0.5255,0.7642,0.7541,0.4182,0.9333,0.5380,0.7968,0.4278,0.6541,0.6042,0.4211,0.5000,0.6562,0.4571,0.6426,0.1506
47,0.5142,0.7612,0.7027,0.4727,0.9022,0.5652,0.8107,0.4244,0.6202,0.6250,0.4000,0.2500,0.8125,0.3077,0.6426,0.0725
48,0.5048,0.7761,0.7692,0.4545,0.9333,0.5714,0.8293,0.4606,0.6234,0.6250,0.3750,0.1875,0.8437,0.2500,0.6299,0.0395
49,0.5118,0.7403,0.6716,0.4091,0.9022,0.5085,0.8130,0.3655,0.6382,0.6250,0.4375,0.4375,0.7187,0.4375,0.6504,0.1562
50,0.4990,0.7821,0.7467,0.5091,0.9156,0.6054,0.8310,0.4784,0.6323,0.5833,0.3333,0.2500,0.7500,0.2857,0.6475,0.0000
51,0.5093,0.7910,0.7941,0.4909,0.9378,0.6067,0.8191,0.5005,0.6285,0.5833,0.3333,0.2500,0.7500,0.2857,0.6523,0.0000
52,0.4907,0.7881,0.8000,0.4727,0.9422,0.5943,0.8465,0.4928,0.6165,0.6458,0.4000,0.1250,0.9062,0.1905,0.6533,0.0482
53,0.4974,0.7821,0.7606,0.4909,0.9244,0.5967,0.8371,0.4773,0.6314,0.6458,0.4000,0.1250,0.9062,0.1905,0.6504,0.0482
54,0.4966,0.7821,0.7606,0.4909,0.9244,0.5967,0.8272,0.4773,0.6373,0.6250,0.4286,0.3750,0.7500,0.4000,0.6562,0.1296
55,0.4980,0.7672,0.7222,0.4727,0.9111,0.5714,0.8327,0.4388,0.6121,0.6458,0.4000,0.1250,0.9062,0.1905,0.6572,0.0482
56,0.4815,0.8149,0.8243,0.5545,0.9422,0.6630,0.8501,0.5623,0.6336,0.5833,0.3333,0.2500,0.7500,0.2857,0.6602,0.0000
57,0.4783,0.8030,0.8056,0.5273,0.9378,0.6374,0.8641,0.5317,0.6412,0.6250,0.4375,0.4375,0.7187,0.4375,0.6602,0.1562
58,0.4797,0.8179,0.8356,0.5545,0.9467,0.6667,0.8573,0.5702,0.6141,0.6667,0.5000,0.2500,0.8750,0.3333,0.6543,0.1581
59,0.4774,0.8060,0.7922,0.5545,0.9289,0.6524,0.8644,0.5396,0.6280,0.6042,0.3846,0.3125,0.7500,0.3448,0.6523,0.0663
60,0.4762,0.7910,0.7381,0.5636,0.9022,0.6392,0.8505,0.5047,0.6252,0.6458,0.4000,0.1250,0.9062,0.1905,0.6445,0.0482
61,0.4805,0.8000,0.8028,0.5182,0.9378,0.6298,0.8579,0.5239,0.6229,0.5833,0.3571,0.3125,0.7187,0.3333,0.6562,0.0324
62,0.4683,0.8358,0.8667,0.5909,0.9556,0.7027,0.8689,0.6156,0.6230,0.5833,0.3333,0.2500,0.7500,0.2857,0.6475,0.0000
63,0.4668,0.8149,0.8077,0.5727,0.9333,0.6702,0.8728,0.5623,0.6321,0.5833,0.3333,0.2500,0.7500,0.2857,0.6416,0.0000
64,0.4584,0.8179,0.8182,0.5727,0.9378,0.6738,0.8741,0.5698,0.6201,0.6458,0.4000,0.1250,0.9062,0.1905,0.6514,0.0482
65,0.4765,0.7731,0.7576,0.4545,0.9289,0.5682,0.8672,0.4527,0.6168,0.6458,0.4444,0.2500,0.8437,0.3200,0.6533,0.1132
66,0.4741,0.8358,0.8481,0.6091,0.9467,0.7090,0.8663,0.6148,0.6145,0.6458,0.4444,0.2500,0.8437,0.3200,0.6484,0.1132
67,0.4519,0.8209,0.7976,0.6091,0.9244,0.6907,0.8899,0.5781,0.6156,0.6042,0.3636,0.2500,0.7812,0.2963,0.6445,0.0350
68,0.4423,0.8507,0.8750,0.6364,0.9556,0.7368,0.9007,0.6520,0.6222,0.6250,0.4000,0.2500,0.8125,0.3077,0.6465,0.0725
69,0.4443,0.8388,0.8256,0.6455,0.9333,0.7245,0.8918,0.6222,0.6207,0.6042,0.3636,0.2500,0.7812,0.2963,0.6484,0.0350
70,0.4653,0.8119,0.8219,0.5455,0.9422,0.6557,0.8717,0.5548,0.6198,0.6042,0.3636,0.2500,0.7812,0.2963,0.6406,0.0350
71,0.4415,0.8269,0.8171,0.6091,0.9333,0.6979,0.9059,0.5925,0.6167,0.6042,0.3636,0.2500,0.7812,0.2963,0.6367,0.0350
72,0.4464,0.8567,0.8780,0.6545,0.9556,0.7500,0.8940,0.6664,0.6177,0.6042,0.3636,0.2500,0.7812,0.2963,0.6367,0.0350
73,0.4443,0.8418,0.8519,0.6273,0.9467,0.7225,0.8892,0.6295,0.6223,0.6042,0.3636,0.2500,0.7812,0.2963,0.6348,0.0350
74,0.4400,0.8448,0.8452,0.6455,0.9422,0.7320,0.9048,0.6367,0.6212,0.6042,0.3636,0.2500,0.7812,0.2963,0.6406,0.0350
75,0.4530,0.8299,0.8193,0.6182,0.9333,0.7047,0.8862,0.5999,0.6174,0.6042,0.3636,0.2500,0.7812,0.2963,0.6367,0.0350
76,0.4495,0.8299,0.8118,0.6273,0.9289,0.7077,0.8822,0.6002,0.6160,0.6250,0.4000,0.2500,0.8125,0.3077,0.6348,0.0725
77,0.4376,0.8179,0.8182,0.5727,0.9378,0.6738,0.9002,0.5698,0.6173,0.6042,0.3636,0.2500,0.7812,0.2963,0.6426,0.0350
78,0.4475,0.8358,0.8481,0.6091,0.9467,0.7090,0.8873,0.6148,0.6234,0.5833,0.3333,0.2500,0.7500,0.2857,0.6367,0.0000
79,0.4421,0.8388,0.8415,0.6273,0.9422,0.7188,0.8973,0.6220,0.6157,0.6042,0.3636,0.2500,0.7812,0.2963,0.6367,0.0350
80,0.4344,0.8448,0.8816,0.6091,0.9600,0.7204,0.9127,0.6381,0.6166,0.6042,0.3636,0.2500,0.7812,0.2963,0.6338,0.0350
81,0.4383,0.8537,0.8765,0.6455,0.9556,0.7435,0.9037,0.6592,0.6245,0.6042,0.3636,0.2500,0.7812,0.2963,0.6348,0.0350
82,0.4485,0.8328,0.8375,0.6091,0.9422,0.7053,0.8906,0.6073,0.6166,0.6042,0.3333,0.1875,0.8125,0.2400,0.6367,0.0000
83,0.4350,0.8567,0.8780,0.6545,0.9556,0.7500,0.9085,0.6664,0.6247,0.5833,0.3333,0.2500,0.7500,0.2857,0.6357,0.0000
84,0.4416,0.8448,0.8372,0.6545,0.9378,0.7347,0.8955,0.6368,0.6244,0.6042,0.3636,0.2500,0.7812,0.2963,0.6377,0.0350
85,0.4305,0.8388,0.8590,0.6091,0.9511,0.7128,0.9085,0.6225,0.6261,0.5833,0.3333,0.2500,0.7500,0.2857,0.6348,0.0000
86,0.4273,0.8597,0.8539,0.6909,0.9422,0.7638,0.9113,0.6732,0.6202,0.6042,0.3636,0.2500,0.7812,0.2963,0.6348,0.0350
87,0.4430,0.8299,0.8272,0.6091,0.9378,0.7016,0.8983,0.5998,0.6204,0.6042,0.3636,0.2500,0.7812,0.2963,0.6348,0.0350
88,0.4322,0.8448,0.8372,0.6545,0.9378,0.7347,0.9071,0.6368,0.6162,0.6042,0.3333,0.1875,0.8125,0.2400,0.6367,0.0000
89,0.4263,0.8537,0.8675,0.6545,0.9511,0.7461,0.9141,0.6588,0.6226,0.6042,0.3636,0.2500,0.7812,0.2963,0.6348,0.0350
90,0.4248,0.8657,0.8652,0.7000,0.9467,0.7739,0.9134,0.6876,0.6201,0.6042,0.3636,0.2500,0.7812,0.2963,0.6357,0.0350
91,0.4290,0.8448,0.8452,0.6455,0.9422,0.7320,0.9129,0.6367,0.6243,0.6042,0.3636,0.2500,0.7812,0.2963,0.6367,0.0350
92,0.4305,0.8448,0.8452,0.6455,0.9422,0.7320,0.9066,0.6367,0.6241,0.6042,0.3636,0.2500,0.7812,0.2963,0.6367,0.0350
93,0.4437,0.8358,0.8481,0.6091,0.9467,0.7090,0.9007,0.6148,0.6257,0.5833,0.3333,0.2500,0.7500,0.2857,0.6367,0.0000
94,0.4227,0.8657,0.9012,0.6636,0.9644,0.7644,0.9158,0.6889,0.6203,0.6042,0.3636,0.2500,0.7812,0.2963,0.6348,0.0350
95,0.4283,0.8507,0.8261,0.6909,0.9289,0.7525,0.9094,0.6521,0.6205,0.6042,0.3636,0.2500,0.7812,0.2963,0.6367,0.0350
96,0.4283,0.8567,0.8690,0.6636,0.9511,0.7526,0.9098,0.6661,0.6216,0.6042,0.3636,0.2500,0.7812,0.2963,0.6367,0.0350
97,0.4242,0.8597,0.8539,0.6909,0.9422,0.7638,0.9105,0.6732,0.6211,0.6042,0.3636,0.2500,0.7812,0.2963,0.6348,0.0350
98,0.4338,0.8269,0.8171,0.6091,0.9333,0.6979,0.9065,0.5925,0.6175,0.6250,0.4000,0.2500,0.8125,0.3077,0.6348,0.0725
99,0.4302,0.8448,0.8537,0.6364,0.9467,0.7292,0.9056,0.6368,0.6228,0.6042,0.3636,0.2500,0.7812,0.2963,0.6367,0.0350
100,0.4359,0.8358,0.8313,0.6273,0.9378,0.7150,0.9028,0.6147,0.6208,0.6042,0.3636,0.2500,0.7812,0.2963,0.6357,0.0350
