epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
38,0.5318,0.7403,0.7018,0.3636,0.9244,0.4790,0.7968,0.3600,0.6088,0.6458,0.4286,0.1875,0.8750,0.2609,0.6250,0.0835
39,0.5360,0.7522,0.7213,0.4000,0.9244,0.5146,0.7861,0.3948,0.6087,0.6667,0.5000,0.2500,0.8750,0.3333,0.6299,0.1581
40,0.5192,0.7672,0.7667,0.4182,0.9378,0.5412,0.8187,0.4360,0.6204,0.5833,0.3333,0.2500,0.7500,0.2857,0.6289,0.0000
41,0.5194,0.7731,0.7237,0.5000,0.9067,0.5914,0.8077,0.4560,0.6072,0.6250,0.4000,0.2500,0.8125,0.3077,0.6367,0.0725
42,0.5271,0.7463,0.6812,0.4273,0.9022,0.5251,0.7936,0.3826,0.6066,0.6667,0.5000,0.1875,0.9062,0.2727,0.6270,0.1336
43,0.5214,0.7373,0.6719,0.3909,0.9067,0.4943,0.8086,0.3555,0.6077,0.6458,0.4444,0.2500,0.8437,0.3200,0.6289,0.1132
44,0.5113,0.7642,0.7067,0.4818,0.9022,0.5730,0.8170,0.4327,0.6127,0.6250,0.4000,0.2500,0.8125,0.3077,0.6270,0.0725
45,0.5135,0.7761,0.7273,0.5091,0.9067,0.5989,0.8152,0.4641,0.6246,0.6250,0.4286,0.3750,0.7500,0.4000,0.6270,0.1296
46,0.5106,0.7612,0.7083,0.4636,0.9067,0.5604,0.8232,0.4234,0.6213,0.6250,0.4167,0.3125,0.7812,0.3571,0.6191,0.1021
47,0.5017,0.7731,0.7576,0.4545,0.9289,0.5682,0.8388,0.4527,0.6099,0.6458,0.4444,0.2500,0.8437,0.3200,0.6279,0.1132
48,0.5051,0.7672,0.7286,0.4636,0.9156,0.5667,0.8327,0.4380,0.6080,0.6250,0.4167,0.3125,0.7812,0.3571,0.6309,0.1021
49,0.4804,0.7970,0.7561,0.5636,0.9111,0.6458,0.8536,0.5185,0.6065,0.6875,0.5714,0.2500,0.9062,0.3478,0.6309,0.2087
50,0.4936,0.7821,0.7229,0.5455,0.8978,0.6218,0.8340,0.4821,0.6099,0.6875,0.5556,0.3125,0.8750,0.4000,0.6328,0.2265
51,0.4769,0.8090,0.7805,0.5818,0.9200,0.6667,0.8620,0.5481,0.6227,0.5625,0.3529,0.3750,0.6562,0.3636,0.6328,0.0308
52,0.4739,0.8239,0.8400,0.5727,0.9467,0.6811,0.8716,0.5851,0.6113,0.6667,0.5000,0.3125,0.8437,0.3846,0.6367,0.1814
53,0.4677,0.8060,0.7711,0.5818,0.9156,0.6632,0.8681,0.5410,0.6130,0.6042,0.3846,0.3125,0.7500,0.3448,0.6426,0.0663
54,0.4792,0.8119,0.7831,0.5909,0.9200,0.6736,0.8486,0.5558,0.6127,0.6250,0.4167,0.3125,0.7812,0.3571,0.6348,0.1021
55,0.4684,0.7940,0.7303,0.5909,0.8933,0.6533,0.8650,0.5149,0.6432,0.5625,0.3684,0.4375,0.6250,0.4000,0.6426,0.0602
56,0.4747,0.8119,0.7765,0.6000,0.9156,0.6769,0.8622,0.5564,0.6257,0.5833,0.3750,0.3750,0.6875,0.3750,0.6270,0.0625
57,0.4763,0.8090,0.7805,0.5818,0.9200,0.6667,0.8697,0.5481,0.6085,0.6875,0.5714,0.2500,0.9062,0.3478,0.6406,0.2087
58,0.4641,0.8000,0.7590,0.5727,0.9111,0.6528,0.8701,0.5263,0.6199,0.6042,0.3846,0.3125,0.7500,0.3448,0.6348,0.0663
59,0.4669,0.8119,0.7831,0.5909,0.9200,0.6736,0.8686,0.5558,0.6146,0.6875,0.6000,0.1875,0.9375,0.2857,0.6250,0.1929
60,0.4542,0.8090,0.7949,0.5636,0.9289,0.6596,0.8896,0.5473,0.6123,0.6667,0.5000,0.3125,0.8437,0.3846,0.6328,0.1814
61,0.4535,0.8179,0.7753,0.6273,0.9111,0.6935,0.8817,0.5724,0.6216,0.6042,0.3846,0.3125,0.7500,0.3448,0.6289,0.0663
62,0.4580,0.8269,0.8095,0.6182,0.9289,0.7010,0.8852,0.5927,0.6092,0.6875,0.5556,0.3125,0.8750,0.4000,0.6348,0.2265
63,0.4505,0.8149,0.7667,0.6273,0.9067,0.6900,0.8841,0.5657,0.6572,0.5625,0.4000,0.6250,0.5312,0.4878,0.6377,0.1474
64,0.4457,0.8388,0.8256,0.6455,0.9333,0.7245,0.8923,0.6222,0.6099,0.6458,0.4545,0.3125,0.8125,0.3704,0.6484,0.1402
65,0.4484,0.8328,0.7872,0.6727,0.9111,0.7255,0.8824,0.6103,0.6168,0.6042,0.3846,0.3125,0.7500,0.3448,0.6387,0.0663
66,0.4381,0.8418,0.8202,0.6636,0.9289,0.7337,0.9021,0.6300,0.6104,0.6667,0.5000,0.3125,0.8437,0.3846,0.6387,0.1814
67,0.4300,0.8299,0.8354,0.6000,0.9422,0.6984,0.9060,0.5998,0.6125,0.5833,0.3571,0.3125,0.7187,0.3333,0.6445,0.0324
68,0.4323,0.8239,0.8000,0.6182,0.9244,0.6974,0.9109,0.5856,0.6033,0.6875,0.5714,0.2500,0.9062,0.3478,0.6426,0.2087
