epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.7181,0.3333,0.3313,1.0000,0.0044,0.4978,0.5766,0.0384,0.7334,0.3333,0.3333,1.0000,0.0000,0.5000,0.5732,0.0000
2,0.6983,0.4435,0.3390,0.7207,0.3067,0.4611,0.5613,0.0282,0.6784,0.7083,0.5714,0.5000,0.8125,0.5333,0.6104,0.3241
3,0.6786,0.6310,0.4504,0.5315,0.6800,0.4876,0.6163,0.2040,0.6575,0.6875,0.5556,0.3125,0.8750,0.4000,0.6064,0.2265
4,0.6655,0.6488,0.4568,0.3333,0.8044,0.3854,0.6190,0.1515,0.6480,0.6875,0.5714,0.2500,0.9062,0.3478,0.6074,0.2087
5,0.6487,0.6845,0.5309,0.3874,0.8311,0.4479,0.6435,0.2403,0.6397,0.7083,0.6250,0.3125,0.9062,0.4167,0.6104,0.2767
6,0.6445,0.6607,0.4783,0.2973,0.8400,0.3667,0.6192,0.1599,0.6311,0.6667,0.5000,0.1875,0.9062,0.2727,0.6113,0.1336
7,0.6347,0.6518,0.4464,0.2252,0.8622,0.2994,0.6424,0.1104,0.6231,0.6250,0.2500,0.0625,0.9062,0.1000,0.6152,-0.0533
8,0.6321,0.6607,0.4746,0.2523,0.8622,0.3294,0.6145,0.1415,0.6261,0.6875,0.5714,0.2500,0.9062,0.3478,0.6172,0.2087
9,0.6284,0.6577,0.4500,0.1622,0.9022,0.2384,0.6308,0.0935,0.6255,0.6875,0.5714,0.2500,0.9062,0.3478,0.6260,0.2087
10,0.6249,0.6518,0.4167,0.1351,0.9067,0.2041,0.6279,0.0636,0.6202,0.6875,0.6667,0.1250,0.9687,0.2105,0.6260,0.1826
11,0.6171,0.6607,0.4634,0.1712,0.9022,0.2500,0.6463,0.1055,0.6184,0.6667,0.5000,0.0625,0.9687,0.1111,0.6289,0.0737
12,0.6183,0.6667,0.4815,0.1171,0.9378,0.1884,0.6428,0.0950,0.6144,0.6875,1.0000,0.0625,1.0000,0.1176,0.6309,0.2063
13,0.6084,0.6815,0.5667,0.1532,0.9422,0.2411,0.6713,0.1573,0.6158,0.6875,0.6667,0.1250,0.9687,0.2105,0.6240,0.1826
14,0.6082,0.6905,0.6129,0.1712,0.9467,0.2676,0.6513,0.1915,0.6129,0.6875,0.6667,0.1250,0.9687,0.2105,0.6309,0.1826
15,0.6077,0.6905,0.5946,0.1982,0.9333,0.2973,0.6454,0.1976,0.6140,0.7083,0.7500,0.1875,0.9687,0.3000,0.6289,0.2665
16,0.6032,0.6488,0.4146,0.1532,0.8933,0.2237,0.6659,0.0668,0.6128,0.7292,0.8000,0.2500,0.9687,0.3810,0.6309,0.3376
17,0.6062,0.6845,0.5862,0.1532,0.9467,0.2429,0.6525,0.1672,0.6107,0.6875,0.6667,0.1250,0.9687,0.2105,0.6318,0.1826
18,0.5978,0.6726,0.5143,0.1622,0.9244,0.2466,0.6779,0.1333,0.6106,0.7083,0.7500,0.1875,0.9687,0.3000,0.6250,0.2665
19,0.6037,0.6577,0.4474,0.1532,0.9067,0.2282,0.6551,0.0888,0.6090,0.7083,0.7500,0.1875,0.9687,0.3000,0.6328,0.2665
20,0.5962,0.6905,0.6061,0.1802,0.9422,0.2778,0.6712,0.1934,0.6079,0.7083,0.7500,0.1875,0.9687,0.3000,0.6289,0.2665
21,0.6019,0.6756,0.5357,0.1351,0.9422,0.2158,0.6662,0.1316,0.6064,0.7083,0.7500,0.1875,0.9687,0.3000,0.6406,0.2665
22,0.5953,0.6815,0.5769,0.1351,0.9511,0.2190,0.6861,0.1518,0.6053,0.6667,0.5000,0.0625,0.9687,0.1111,0.6436,0.0737
23,0.5948,0.6756,0.5263,0.1802,0.9200,0.2685,0.6742,0.1488,0.6067,0.6875,0.5714,0.2500,0.9062,0.3478,0.6504,0.2087
24,0.5960,0.6815,0.5714,0.1441,0.9467,0.2302,0.6741,0.1545,0.6035,0.6875,0.6667,0.1250,0.9687,0.2105,0.6582,0.1826
25,0.5917,0.6875,0.6154,0.1441,0.9556,0.2336,0.6880,0.1755,0.6006,0.7292,0.8000,0.2500,0.9687,0.3810,0.6582,0.3376
26,0.5878,0.7054,0.6304,0.2613,0.9244,0.3694,0.6886,0.2541,0.6006,0.6875,1.0000,0.0625,1.0000,0.1176,0.6465,0.2063
27,0.5890,0.6935,0.6667,0.1441,0.9644,0.2370,0.6998,0.1983,0.6013,0.7083,0.6667,0.2500,0.9375,0.3636,0.6523,0.2673
28,0.5859,0.6905,0.6207,0.1622,0.9511,0.2571,0.7006,0.1897,0.5982,0.6667,0.5000,0.0625,0.9687,0.1111,0.6572,0.0737
29,0.5787,0.6935,0.6053,0.2072,0.9333,0.3087,0.7165,0.2087,0.5963,0.6875,0.6667,0.1250,0.9687,0.2105,0.6602,0.1826
30,0.5833,0.6845,0.5714,0.1802,0.9333,0.2740,0.7029,0.1748,0.5939,0.7292,0.8000,0.2500,0.9687,0.3810,0.6680,0.3376
31,0.5782,0.6905,0.6296,0.1532,0.9556,0.2464,0.7289,0.1881,0.5941,0.7292,0.8000,0.2500,0.9687,0.3810,0.6650,0.3376
32,0.5794,0.6994,0.6471,0.1982,0.9467,0.3034,0.7201,0.2259,0.5926,0.7292,0.8000,0.2500,0.9687,0.3810,0.6738,0.3376
33,0.5752,0.7024,0.6774,0.1892,0.9556,0.2958,0.7321,0.2352,0.5910,0.6667,0.5000,0.0625,0.9687,0.1111,0.6758,0.0737
34,0.5670,0.7143,0.7143,0.2252,0.9556,0.3425,0.7428,0.2783,0.5925,0.7083,0.6250,0.3125,0.9062,0.4167,0.6836,0.2767
35,0.5670,0.6845,0.5641,0.1982,0.9244,0.2933,0.7362,0.1801,0.5833,0.7500,0.8333,0.3125,0.9687,0.4545,0.6953,0.4009
36,0.5710,0.7054,0.6429,0.2432,0.9333,0.3529,0.7345,0.2511,0.5874,0.7083,0.6250,0.3125,0.9062,0.4167,0.7080,0.2767
37,0.5615,0.7173,0.7000,0.2523,0.9467,0.3709,0.7663,0.2889,0.5785,0.7083,0.7500,0.1875,0.9687,0.3000,0.7168,0.2665
38,0.5567,0.7232,0.7647,0.2342,0.9644,0.3586,0.7742,0.3099,0.5778,0.7292,0.7143,0.3125,0.9375,0.4348,0.7168,0.3339
39,0.5546,0.7262,0.7021,0.2973,0.9378,0.4177,0.7717,0.3188,0.5779,0.7083,0.6250,0.3125,0.9062,0.4167,0.7041,0.2767
40,0.5427,0.7470,0.7500,0.3514,0.9422,0.4785,0.7834,0.3818,0.5744,0.7292,0.7143,0.3125,0.9375,0.4348,0.7109,0.3339
41,0.5493,0.7143,0.6415,0.3063,0.9156,0.4146,0.7810,0.2863,0.5705,0.7083,0.6667,0.2500,0.9375,0.3636,0.7148,0.2673
42,0.5483,0.7440,0.7551,0.3333,0.9467,0.4625,0.7727,0.3731,0.5681,0.7083,0.7500,0.1875,0.9687,0.3000,0.7246,0.2665
43,0.5349,0.7470,0.7955,0.3153,0.9600,0.4516,0.8159,0.3839,0.5634,0.7083,0.6667,0.2500,0.9375,0.3636,0.7363,0.2673
44,0.5413,0.7173,0.6481,0.3153,0.9156,0.4242,0.7870,0.2957,0.5748,0.6875,1.0000,0.0625,1.0000,0.1176,0.7207,0.2063
45,0.5270,0.7589,0.8125,0.3514,0.9600,0.4906,0.8295,0.4185,0.5632,0.7083,0.6667,0.2500,0.9375,0.3636,0.7256,0.2673
46,0.5379,0.7411,0.7222,0.3514,0.9333,0.4727,0.8042,0.3646,0.5784,0.7083,0.5625,0.5625,0.7812,0.5625,0.7383,0.3438
47,0.5304,0.7411,0.7222,0.3514,0.9333,0.4727,0.8079,0.3646,0.5615,0.6875,0.6667,0.1250,0.9687,0.2105,0.7578,0.1826
48,0.5202,0.7649,0.8077,0.3784,0.9556,0.5153,0.8389,0.4343,0.5551,0.7083,0.6667,0.2500,0.9375,0.3636,0.7402,0.2673
49,0.5089,0.7798,0.7846,0.4595,0.9378,0.5795,0.8400,0.4730,0.5558,0.7083,0.6667,0.2500,0.9375,0.3636,0.7344,0.2673
50,0.5155,0.7411,0.7069,0.3694,0.9244,0.4852,0.8306,0.3657,0.5539,0.6667,0.5000,0.2500,0.8750,0.3333,0.7480,0.1581
