epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.6397,0.6716,0.0000,0.0000,1.0000,0.0000,0.6150,0.0000,0.6787,0.6667,0.0000,0.0000,1.0000,0.0000,0.5088,0.0000
2,0.6307,0.6716,0.0000,0.0000,1.0000,0.0000,0.6483,0.0000,0.6358,0.6667,0.0000,0.0000,1.0000,0.0000,0.4629,0.0000
3,0.6232,0.6716,0.0000,0.0000,1.0000,0.0000,0.6535,0.0000,0.6345,0.6667,0.0000,0.0000,1.0000,0.0000,0.4668,0.0000
4,0.6168,0.6746,0.6667,0.0182,0.9956,0.0354,0.6573,0.0685,0.6356,0.7083,1.0000,0.1250,1.0000,0.2222,0.4785,0.2949
5,0.6145,0.6507,0.2941,0.0455,0.9467,0.0787,0.6434,-0.0169,0.6400,0.6667,0.5000,0.1250,0.9375,0.2000,0.4785,0.1066
6,0.6085,0.6687,0.4737,0.0818,0.9556,0.1395,0.6614,0.0759,0.6387,0.6667,0.5000,0.1250,0.9375,0.2000,0.4775,0.1066
7,0.6019,0.6687,0.4783,0.1000,0.9467,0.1654,0.6695,0.0867,0.6404,0.6667,0.5000,0.1250,0.9375,0.2000,0.4746,0.1066
8,0.6039,0.6955,0.6176,0.1909,0.9422,0.2917,0.6564,0.2070,0.6467,0.6667,0.5000,0.1875,0.9062,0.2727,0.4785,0.1336
9,0.5994,0.6657,0.4667,0.1273,0.9289,0.2000,0.6709,0.0924,0.6502,0.6875,0.5714,0.2500,0.9062,0.3478,0.4805,0.2087
10,0.5963,0.6687,0.4839,0.1364,0.9289,0.2128,0.6806,0.1057,0.6461,0.6667,0.5000,0.1250,0.9375,0.2000,0.4727,0.1066
11,0.5971,0.6597,0.4474,0.1545,0.9067,0.2297,0.6713,0.0906,0.6457,0.6667,0.5000,0.1250,0.9375,0.2000,0.4727,0.1066
12,0.5949,0.6687,0.4865,0.1636,0.9156,0.2449,0.6718,0.1186,0.6503,0.6667,0.5000,0.2500,0.8750,0.3333,0.4707,0.1581
13,0.5874,0.6687,0.4889,0.2000,0.8978,0.2839,0.6900,0.1347,0.6479,0.6875,0.6000,0.1875,0.9375,0.2857,0.4746,0.1929
14,0.5793,0.6806,0.5306,0.2364,0.8978,0.3270,0.7137,0.1783,0.6524,0.6667,0.5000,0.2500,0.8750,0.3333,0.4746,0.1581
15,0.5865,0.6716,0.5000,0.1909,0.9067,0.2763,0.6921,0.1384,0.6478,0.6875,0.6000,0.1875,0.9375,0.2857,0.4795,0.1929
16,0.5779,0.6806,0.5319,0.2273,0.9022,0.3185,0.7080,0.1751,0.6496,0.6875,0.6000,0.1875,0.9375,0.2857,0.4854,0.1929
17,0.5760,0.6866,0.5472,0.2636,0.8933,0.3558,0.7073,0.2020,0.6499,0.6667,0.5000,0.1250,0.9375,0.2000,0.4902,0.1066
18,0.5733,0.6896,0.5600,0.2545,0.9022,0.3500,0.7187,0.2066,0.6489,0.6667,0.5000,0.1250,0.9375,0.2000,0.4863,0.1066
19,0.5830,0.6776,0.5217,0.2182,0.9022,0.3077,0.6964,0.1643,0.6546,0.6250,0.4000,0.2500,0.8125,0.3077,0.4863,0.0725
20,0.5755,0.6896,0.5652,0.2364,0.9111,0.3333,0.7103,0.2012,0.6656,0.5833,0.3333,0.2500,0.7500,0.2857,0.4902,0.0000
21,0.5720,0.6925,0.5614,0.2909,0.8889,0.3832,0.7172,0.2247,0.6476,0.6667,0.5000,0.2500,0.8750,0.3333,0.4922,0.1581
22,0.5689,0.7075,0.6765,0.2091,0.9511,0.3194,0.7339,0.2491,0.6481,0.6875,0.6667,0.1250,0.9687,0.2105,0.5000,0.1826
23,0.5617,0.7313,0.6923,0.3273,0.9289,0.4444,0.7351,0.3322,0.6510,0.6667,0.5000,0.2500,0.8750,0.3333,0.5020,0.1581
24,0.5594,0.7045,0.5902,0.3273,0.8889,0.4211,0.7426,0.2630,0.6426,0.6667,0.5000,0.1250,0.9375,0.2000,0.5020,0.1066
25,0.5710,0.6955,0.5833,0.2545,0.9111,0.3544,0.7239,0.2220,0.6505,0.6250,0.4000,0.2500,0.8125,0.3077,0.5098,0.0725
26,0.5550,0.7104,0.6512,0.2545,0.9333,0.3660,0.7540,0.2638,0.6407,0.6250,0.3333,0.1250,0.8750,0.1818,0.5117,0.0000
27,0.5499,0.7164,0.6596,0.2818,0.9289,0.3949,0.7615,0.2849,0.6500,0.6458,0.4444,0.2500,0.8437,0.3200,0.5098,0.1132
28,0.5445,0.7134,0.6167,0.3364,0.8978,0.4353,0.7648,0.2868,0.6447,0.6250,0.3750,0.1875,0.8437,0.2500,0.5205,0.0395
29,0.5472,0.7224,0.6735,0.3000,0.9289,0.4151,0.7722,0.3042,0.6468,0.6458,0.4444,0.2500,0.8437,0.3200,0.5234,0.1132
30,0.5319,0.7224,0.6393,0.3545,0.9022,0.4561,0.7909,0.3125,0.6422,0.6667,0.5000,0.1250,0.9375,0.2000,0.5312,0.1066
31,0.5258,0.7522,0.7213,0.4000,0.9244,0.5146,0.7972,0.3948,0.6485,0.6667,0.5000,0.1250,0.9375,0.2000,0.5312,0.1066
32,0.5409,0.7075,0.6034,0.3182,0.8978,0.4167,0.7756,0.2680,0.6485,0.6667,0.5000,0.1250,0.9375,0.2000,0.5303,0.1066
33,0.5279,0.7582,0.7377,0.4091,0.9289,0.5263,0.7882,0.4113,0.6410,0.6667,0.5000,0.2500,0.8750,0.3333,0.5449,0.1581
34,0.5192,0.7463,0.7358,0.3545,0.9378,0.4785,0.8112,0.3762,0.6431,0.6667,0.5000,0.1250,0.9375,0.2000,0.5391,0.1066
35,0.5211,0.7343,0.6400,0.4364,0.8800,0.5189,0.7892,0.3564,0.6838,0.5000,0.3182,0.4375,0.5312,0.3684,0.5488,-0.0296
36,0.5145,0.7343,0.6909,0.3455,0.9244,0.4606,0.8257,0.3422,0.6441,0.6667,0.5000,0.3125,0.8437,0.3846,0.5469,0.1814
37,0.5063,0.7463,0.6984,0.4000,0.9156,0.5087,0.8261,0.3792,0.6432,0.6250,0.3333,0.1250,0.8750,0.1818,0.5449,0.0000
38,0.4999,0.7642,0.7123,0.4727,0.9067,0.5683,0.8239,0.4316,0.6376,0.6667,0.5000,0.3125,0.8437,0.3846,0.5605,0.1814
39,0.5083,0.7642,0.7719,0.4000,0.9422,0.5269,0.8244,0.4277,0.6344,0.6667,0.5000,0.2500,0.8750,0.3333,0.5684,0.1581
40,0.5061,0.7582,0.7377,0.4091,0.9289,0.5263,0.8266,0.4113,0.6230,0.6458,0.4286,0.1875,0.8750,0.2609,0.5908,0.0835
41,0.5012,0.7433,0.7500,0.3273,0.9467,0.4557,0.8324,0.3672,0.6299,0.6458,0.4444,0.2500,0.8437,0.3200,0.5820,0.1132
42,0.4793,0.7970,0.8281,0.4818,0.9511,0.6092,0.8612,0.5172,0.6286,0.6667,0.5000,0.3125,0.8437,0.3846,0.5889,0.1814
43,0.4728,0.7910,0.7564,0.5364,0.9156,0.6277,0.8597,0.5022,0.6385,0.6667,0.5000,0.3750,0.8125,0.4286,0.5898,0.2041
44,0.4647,0.7881,0.7671,0.5091,0.9244,0.6120,0.8781,0.4932,0.6275,0.6667,0.5000,0.3125,0.8437,0.3846,0.5918,0.1814
45,0.4734,0.7940,0.7808,0.5182,0.9289,0.6230,0.8634,0.5086,0.6086,0.6250,0.3333,0.1250,0.8750,0.1818,0.6270,0.0000
46,0.4611,0.8060,0.8000,0.5455,0.9333,0.6486,0.8802,0.5394,0.6312,0.6667,0.5000,0.3125,0.8437,0.3846,0.5957,0.1814
47,0.4699,0.7910,0.7857,0.5000,0.9333,0.6111,0.8661,0.5005,0.6346,0.6458,0.4444,0.2500,0.8437,0.3200,0.5859,0.1132
48,0.4627,0.8119,0.8310,0.5364,0.9467,0.6519,0.8766,0.5550,0.6145,0.6875,0.6000,0.1875,0.9375,0.2857,0.6113,0.1929
49,0.4525,0.8090,0.8026,0.5545,0.9333,0.6559,0.8819,0.5471,0.6605,0.5208,0.3478,0.5000,0.5312,0.4103,0.6152,0.0295
50,0.4469,0.7970,0.7625,0.5545,0.9156,0.6421,0.8855,0.5178,0.6160,0.7083,0.7500,0.1875,0.9687,0.3000,0.6182,0.2665
51,0.4296,0.8299,0.8442,0.5909,0.9467,0.6952,0.9126,0.6000,0.6210,0.6458,0.4444,0.2500,0.8437,0.3200,0.6055,0.1132
52,0.4391,0.8149,0.7857,0.6000,0.9200,0.6804,0.8877,0.5634,0.6119,0.6458,0.4444,0.2500,0.8437,0.3200,0.6230,0.1132
53,0.4267,0.8328,0.8293,0.6182,0.9378,0.7083,0.9118,0.6072,0.6169,0.6875,0.5455,0.3750,0.8437,0.4444,0.6191,0.2453
54,0.4340,0.8328,0.8214,0.6273,0.9333,0.7113,0.8964,0.6074,0.6217,0.6458,0.4286,0.1875,0.8750,0.2609,0.6113,0.0835
55,0.4338,0.8418,0.8000,0.6909,0.9156,0.7415,0.8938,0.6319,0.6327,0.6250,0.4375,0.4375,0.7187,0.4375,0.6172,0.1562
56,0.4231,0.8418,0.8608,0.6182,0.9511,0.7196,0.9160,0.6298,0.6166,0.6667,0.5000,0.3125,0.8437,0.3846,0.6113,0.1814
57,0.4074,0.8388,0.7800,0.7091,0.9022,0.7429,0.9084,0.6274,0.6045,0.6458,0.4444,0.2500,0.8437,0.3200,0.6357,0.1132
58,0.4253,0.8269,0.8171,0.6091,0.9333,0.6979,0.9150,0.5925,0.6057,0.6458,0.4286,0.1875,0.8750,0.2609,0.6367,0.0835
59,0.4131,0.8448,0.8295,0.6636,0.9333,0.7374,0.9159,0.6370,0.6174,0.6875,0.5385,0.4375,0.8125,0.4828,0.6289,0.2652
60,0.4212,0.8209,0.7778,0.6364,0.9111,0.7000,0.9062,0.5800,0.6388,0.6250,0.4545,0.6250,0.6250,0.5263,0.6523,0.2365
61,0.4003,0.8418,0.8132,0.6727,0.9244,0.7363,0.9265,0.6305,0.6002,0.6875,0.5556,0.3125,0.8750,0.4000,0.6582,0.2265
62,0.4082,0.8776,0.8876,0.7182,0.9556,0.7940,0.9166,0.7163,0.5984,0.6667,0.5000,0.2500,0.8750,0.3333,0.6582,0.1581
63,0.3954,0.8567,0.8523,0.6818,0.9422,0.7576,0.9324,0.6659,0.6045,0.6667,0.5000,0.2500,0.8750,0.3333,0.6406,0.1581
64,0.3990,0.8627,0.8265,0.7364,0.9244,0.7788,0.9182,0.6821,0.6291,0.6458,0.4706,0.5000,0.7187,0.4848,0.6543,0.2156
65,0.4007,0.8597,0.8462,0.7000,0.9378,0.7662,0.9153,0.6734,0.6085,0.6875,0.5385,0.4375,0.8125,0.4828,0.6406,0.2652
66,0.3981,0.8537,0.8352,0.6909,0.9333,0.7562,0.9208,0.6591,0.5974,0.6458,0.4286,0.1875,0.8750,0.2609,0.6602,0.0835
67,0.3943,0.8627,0.8333,0.7273,0.9289,0.7767,0.9234,0.6815,0.6157,0.6250,0.4375,0.4375,0.7187,0.4375,0.6426,0.1562
68,0.3973,0.8567,0.8229,0.7182,0.9244,0.7670,0.9110,0.6674,0.6291,0.6458,0.4737,0.5625,0.6875,0.5143,0.6602,0.2410
69,0.3894,0.8507,0.8191,0.7000,0.9244,0.7549,0.9296,0.6527,0.6030,0.7083,0.5833,0.4375,0.8437,0.5000,0.6553,0.3062
70,0.3858,0.8597,0.8316,0.7182,0.9289,0.7707,0.9326,0.6742,0.6031,0.6667,0.5000,0.2500,0.8750,0.3333,0.6602,0.1581
71,0.3747,0.8657,0.8421,0.7273,0.9333,0.7805,0.9390,0.6883,0.6064,0.6667,0.5000,0.2500,0.8750,0.3333,0.6562,0.1581
72,0.3777,0.8716,0.8602,0.7273,0.9422,0.7882,0.9381,0.7021,0.6003,0.6667,0.5000,0.3125,0.8437,0.3846,0.6582,0.1814
73,0.3846,0.8687,0.8300,0.7545,0.9244,0.7905,0.9269,0.6968,0.6030,0.6875,0.5455,0.3750,0.8437,0.4444,0.6562,0.2453
74,0.3751,0.8806,0.8723,0.7455,0.9467,0.8039,0.9351,0.7234,0.6016,0.6875,0.5455,0.3750,0.8437,0.4444,0.6602,0.2453
75,0.3959,0.8299,0.7978,0.6455,0.9200,0.7136,0.9165,0.6012,0.5994,0.6875,0.5333,0.5000,0.7812,0.5161,0.6904,0.2860
76,0.3664,0.8806,0.8889,0.7273,0.9556,0.8000,0.9488,0.7234,0.5934,0.6875,0.5556,0.3125,0.8750,0.4000,0.6641,0.2265
77,0.3680,0.8836,0.8737,0.7545,0.9467,0.8098,0.9406,0.7306,0.5992,0.6875,0.5455,0.3750,0.8437,0.4444,0.6582,0.2453
