fold,epoch,tr_ACC,tr_PRE,tr_SEN,tr_SPE,tr_F1,tr_AUC,tr_MCC,tr_loss,vl_ACC,vl_PRE,vl_SEN,vl_SPE,vl_F1,vl_AUC,vl_MCC,vl_loss,lr
1,1,0.480392,0.356436,0.712871,0.365854,0.475248,0.535185,0.078155,0.750240,0.324675,0.324675,1.000000,0.000000,0.490196,0.539231,0.000000,0.792119,0.000001
1,2,0.467320,0.346535,0.693069,0.356098,0.462046,0.492345,0.048811,0.764314,0.324675,0.324675,1.000000,0.000000,0.490196,0.619231,0.000000,0.791059,0.000001
1,3,0.522876,0.365269,0.603960,0.482927,0.455224,0.555470,0.082059,0.730931,0.597403,0.428571,0.720000,0.538462,0.537313,0.666923,0.243057,0.686128,0.000001
