epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.6902,0.5051,0.8182,0.0588,0.9859,0.1098,0.6319,0.1180,0.7065,0.4884,0.0000,0.0000,1.0000,0.0000,0.7056,0.0000
2,0.6800,0.5661,0.6812,0.3072,0.8451,0.4234,0.6511,0.1797,0.6917,0.5349,1.0000,0.0909,1.0000,0.1667,0.7749,0.2158
3,0.6725,0.5864,0.6449,0.4510,0.7324,0.5308,0.6465,0.1906,0.6502,0.6744,0.7500,0.5455,0.8095,0.6316,0.7771,0.3671
4,0.6567,0.6373,0.6825,0.5621,0.7183,0.6165,0.6882,0.2832,0.6291,0.6744,0.7222,0.5909,0.7619,0.6500,0.7695,0.3575
5,0.6573,0.6136,0.6535,0.5425,0.6901,0.5929,0.6619,0.2347,0.6187,0.6977,0.7143,0.6818,0.7143,0.6977,0.7771,0.3961
6,0.6548,0.5966,0.6371,0.5163,0.6831,0.5704,0.6631,0.2019,0.6152,0.6512,0.7059,0.5455,0.7619,0.6154,0.7835,0.3142
